EntrezGeneId,UniProtID
1656,http://www.uniprot.org/uniprot/P26196
7913,http://www.uniprot.org/uniprot/P35659
23405,http://www.uniprot.org/uniprot/Q9UPY3
3337,http://www.uniprot.org/uniprot/P25685
1785,http://www.uniprot.org/uniprot/P50570
1788,http://www.uniprot.org/uniprot/Q9Y6K1
29102,http://www.uniprot.org/uniprot/Q9NRR4
1879,http://www.uniprot.org/uniprot/Q9UH73
1956,http://www.uniprot.org/uniprot/P00533
3646,http://www.uniprot.org/uniprot/P60228
1974,http://www.uniprot.org/uniprot/Q14240
2000,http://www.uniprot.org/uniprot/Q99607
2005,http://www.uniprot.org/uniprot/P28324
8178,http://www.uniprot.org/uniprot/P55199
27436,http://www.uniprot.org/uniprot/Q9HC35
2033,http://www.uniprot.org/uniprot/Q09472
2034,http://www.uniprot.org/uniprot/Q99814
2060,http://www.uniprot.org/uniprot/P42566
2064,http://www.uniprot.org/uniprot/P04626
2065,http://www.uniprot.org/uniprot/P21860
2066,http://www.uniprot.org/uniprot/Q15303
23085,http://www.uniprot.org/uniprot/Q8IUD2
2068,http://www.uniprot.org/uniprot/P18074
2071,http://www.uniprot.org/uniprot/P19447
2072,http://www.uniprot.org/uniprot/Q92889
2073,http://www.uniprot.org/uniprot/P28715
2078,http://www.uniprot.org/uniprot/P11308
2099,http://www.uniprot.org/uniprot/P03372
55500,http://www.uniprot.org/uniprot/Q9HBU6
2115,http://www.uniprot.org/uniprot/P50549
2118,http://www.uniprot.org/uniprot/P43268
2119,http://www.uniprot.org/uniprot/P41161
2120,http://www.uniprot.org/uniprot/P41212
2130,http://www.uniprot.org/uniprot/Q01844
2131,http://www.uniprot.org/uniprot/Q16394
2132,http://www.uniprot.org/uniprot/Q93063
2146,http://www.uniprot.org/uniprot/Q15910
7430,http://www.uniprot.org/uniprot/P15311
54855,http://www.uniprot.org/uniprot/Q5VWP2
2175,http://www.uniprot.org/uniprot/O15360
2176,http://www.uniprot.org/uniprot/Q00597
2177,http://www.uniprot.org/uniprot/Q9BXW9
2178,http://www.uniprot.org/uniprot/Q9HB96
2188,http://www.uniprot.org/uniprot/Q9NPI8
2189,http://www.uniprot.org/uniprot/O15287
355,http://www.uniprot.org/uniprot/P25445
2195,http://www.uniprot.org/uniprot/Q14517
79633,http://www.uniprot.org/uniprot/Q6V0I7
80204,http://www.uniprot.org/uniprot/Q86XK2
55294,http://www.uniprot.org/uniprot/Q969H0
2213,http://www.uniprot.org/uniprot/P31994
83417,http://www.uniprot.org/uniprot/Q96PJ5
2242,http://www.uniprot.org/uniprot/P07332
54738,http://www.uniprot.org/uniprot/Q99581
2260,http://www.uniprot.org/uniprot/P11362
11116,http://www.uniprot.org/uniprot/O95684
2263,http://www.uniprot.org/uniprot/P21802
2261,http://www.uniprot.org/uniprot/P22607
2264,http://www.uniprot.org/uniprot/P22455
2271,http://www.uniprot.org/uniprot/P07954
2272,http://www.uniprot.org/uniprot/P49789
81608,http://www.uniprot.org/uniprot/Q6UN15
201163,http://www.uniprot.org/uniprot/Q8NFG4
2313,http://www.uniprot.org/uniprot/Q01543
2322,http://www.uniprot.org/uniprot/P36888
2324,http://www.uniprot.org/uniprot/P35916
3169,http://www.uniprot.org/uniprot/P55317
668,http://www.uniprot.org/uniprot/P58012
2308,http://www.uniprot.org/uniprot/Q12778
2309,http://www.uniprot.org/uniprot/O43524
4303,http://www.uniprot.org/uniprot/P98177
27086,http://www.uniprot.org/uniprot/Q9H334
10272,http://www.uniprot.org/uniprot/O95633
8880,http://www.uniprot.org/uniprot/Q96AE4
2521,http://www.uniprot.org/uniprot/P35637
8522,http://www.uniprot.org/uniprot/O60861
2623,http://www.uniprot.org/uniprot/P15976
2624,http://www.uniprot.org/uniprot/P23769
2625,http://www.uniprot.org/uniprot/P23771
2767,http://www.uniprot.org/uniprot/P29992
2776,http://www.uniprot.org/uniprot/P50148
2778,"http://www.uniprot.org/uniprot/Q5JWF2,http://www.uniprot.org/uniprot/O95467,http://www.uniprot.org/uniprot/P63092,http://www.uniprot.org/uniprot/P84996"
9950,http://www.uniprot.org/uniprot/Q8TBA6
57120,http://www.uniprot.org/uniprot/Q9HD26
2719,http://www.uniprot.org/uniprot/P51654
10243,http://www.uniprot.org/uniprot/Q9NQX3
2903,http://www.uniprot.org/uniprot/Q12879
3020,http://www.uniprot.org/uniprot/P84243
3021,http://www.uniprot.org/uniprot/P84243
9709,http://www.uniprot.org/uniprot/Q15011
23462,http://www.uniprot.org/uniprot/Q9Y5J3
3091,http://www.uniprot.org/uniprot/Q16665
3092,http://www.uniprot.org/uniprot/O00291
8358,http://www.uniprot.org/uniprot/P68431
8294,http://www.uniprot.org/uniprot/P62805
3105,"http://www.uniprot.org/uniprot/P04439,http://www.uniprot.org/uniprot/P30443"
3131,http://www.uniprot.org/uniprot/Q16534
3159,http://www.uniprot.org/uniprot/P17096
8091,http://www.uniprot.org/uniprot/P52926
6927,http://www.uniprot.org/uniprot/P20823
3181,http://www.uniprot.org/uniprot/P22626
84376,http://www.uniprot.org/uniprot/Q86VS8
3207,http://www.uniprot.org/uniprot/P31270
3209,http://www.uniprot.org/uniprot/P31271
3205,http://www.uniprot.org/uniprot/P31269
3227,http://www.uniprot.org/uniprot/O43248
3229,http://www.uniprot.org/uniprot/P31276
3237,http://www.uniprot.org/uniprot/P31277
3239,http://www.uniprot.org/uniprot/P35453
3265,http://www.uniprot.org/uniprot/P01112
3320,http://www.uniprot.org/uniprot/P07900
3326,http://www.uniprot.org/uniprot/P08238
3417,http://www.uniprot.org/uniprot/O75874
3418,http://www.uniprot.org/uniprot/P48735
3492,
50802,
3535,
3551,http://www.uniprot.org/uniprot/O14920
10320,http://www.uniprot.org/uniprot/Q13422
3558,http://www.uniprot.org/uniprot/P60568
50615,http://www.uniprot.org/uniprot/Q9HBE5
3572,http://www.uniprot.org/uniprot/P40189
3575,http://www.uniprot.org/uniprot/P16871
3662,http://www.uniprot.org/uniprot/Q15306
8471,http://www.uniprot.org/uniprot/O14654
3702,http://www.uniprot.org/uniprot/Q08881
3716,http://www.uniprot.org/uniprot/P23458
3717,http://www.uniprot.org/uniprot/O60674
3718,http://www.uniprot.org/uniprot/P52333
3725,http://www.uniprot.org/uniprot/P05412
7994,http://www.uniprot.org/uniprot/Q92794
23522,http://www.uniprot.org/uniprot/Q8WYB5
